Event,City,date,Discipline,Rank,Athlete
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",XiamenWC,2019-10-20,speed,39,Tomoa Narasaki
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",XiamenWC,2019-10-20,lead,3,Tomoa Narasaki
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,WCH Combined,2019-08-21,combined,1,Tomoa Narasaki
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,lead,4,Tomoa Narasaki
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,speed,22,Tomoa Narasaki
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,1,Tomoa Narasaki
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,28,Tomoa Narasaki
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,25,Tomoa Narasaki
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,lead,6,Tomoa Narasaki
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,speed,28,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2019,VailWC,2019-06-08,boulder,2,Tomoa Narasaki
"International Climbing Series - Outdoor Village Speed Stars - Akishima, Tokyo (JPN) 2019",Speed Stars 2019,2019-05-12,speed,11,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,boulder,1,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,speed,54,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,boulder,2,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,2,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,speed,23,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,lead,11,Tomoa Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,13,Tomoa Narasaki
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,WCH Combined,2018-09-16,combined,5,Tomoa Narasaki
